71.06,9.121044754981995,0.7108695652173913,0.9506302521008403,0.5160031225604996,0.8102710413694721,0.6954225352112676,0.8276553106212425,0.33785450061652283,0.8219844357976653,0.9802371541501976,0.8198121263877028,0.654,0.905,0.661,0.568,0.395,0.826,0.548,0.845,0.744,0.96
60.11,10.113884210586548,0.45988463555322495,0.9797859690844233,0.7226890756302521,0.8557919621749409,nan,0.9097938144329897,0.23353506585973657,0.866822429906542,0.974587039390089,0.6686909581646424,0.877,0.824,0.086,0.362,0.0,0.706,0.656,0.742,0.767,0.991
65.97,10.075965642929077,0.6360093530787218,0.9961038961038962,0.38310580204778155,0.6372315035799523,nan,0.9064837905236908,0.29922779922779924,0.843956043956044,0.9812409812409812,0.6921995783555868,0.816,0.767,0.898,0.801,0.0,0.727,0.155,0.768,0.68,0.985
67.9,9.278459668159485,0.4961622807017544,0.9781859931113662,0.3736951983298539,0.7709090909090909,nan,0.7925669835782195,0.3333333333333333,0.9112426035502958,0.9315673289183223,0.8378378378378378,0.905,0.852,0.895,0.636,0.0,0.917,0.01,0.77,0.844,0.961
67.61,9.453689157962799,0.5270588235294118,0.9318413021363174,0.36904761904761907,0.7741545893719807,nan,0.750402576489533,nan,0.9376731301939059,0.9396355353075171,0.8051197357555739,0.896,0.916,0.899,0.641,0.0,0.932,0.0,0.677,0.825,0.975
71.09,8.211188793182373,0.7355212355212355,0.9693654266958425,0.4056040422599908,0.5964095744680851,0.8636363636363636,0.8614270941054809,0.40930232558139534,0.7816482582837723,0.9228187919463087,0.915650406504065,0.762,0.886,0.883,0.897,0.114,0.833,0.088,0.92,0.825,0.901
69.23,8.93308800458908,0.7097361237488626,0.9598732840549102,0.35302806499261447,0.6446776611694153,0.9,0.8330170777988615,nan,0.7992957746478874,0.978319783197832,0.9253112033195021,0.78,0.909,0.956,0.86,0.018,0.878,0.0,0.908,0.722,0.892
66.6,8.410319685935974,0.7922374429223744,0.9279279279279279,0.5714285714285714,0.7227626459143969,0.8333333333333334,0.7910576096302665,0.24702380952380953,0.855327468230694,0.9369469026548672,0.9257731958762887,0.694,0.927,0.004,0.743,0.005,0.92,0.747,0.875,0.847,0.898
70.62,8.372944235801697,0.7970183486238532,0.9685466377440347,0.8421052631578947,0.6776094276094277,0.36187399030694667,0.8064798598949212,0.3333333333333333,0.8377609108159393,0.7620605069501226,0.9503386004514672,0.695,0.893,0.192,0.805,0.896,0.921,0.003,0.883,0.932,0.842
72.95,8.039398968219757,0.8099878197320342,0.9808342728297632,0.6771117166212534,0.5786123488224061,0.4673396674584323,0.8625877632898696,0.3488372093023256,0.7804674457429048,0.7734113712374582,0.9574223245109321,0.665,0.87,0.497,0.909,0.787,0.86,0.015,0.935,0.925,0.832
70.49,7.877462267875671,0.8958333333333334,0.8747714808043876,0.7443365695792881,0.6582491582491582,0.7619047619047619,0.8114387846291331,0.30833682446585675,0.8651348651348651,0.9042663891779397,0.902818270165209,0.516,0.957,0.23,0.782,0.256,0.908,0.736,0.866,0.869,0.929
71.72,7.8213987946510315,0.837696335078534,0.9156976744186046,0.5834218916046758,0.6694078947368421,0.8529411764705882,0.7505957108816521,0.32988505747126434,0.9098173515981736,0.8641251221896383,0.894937917860554,0.64,0.945,0.549,0.814,0.087,0.945,0.574,0.797,0.884,0.937
70.68,8.16586548089981,0.933649289099526,0.9579390115667719,1.0,0.7284522706209453,0.6861313868613139,0.8716216216216216,0.30376444278792397,0.8857442348008385,0.9130434782608695,0.8897266729500471,0.394,0.911,0.003,0.786,0.564,0.903,0.815,0.845,0.903,0.944
67.48,9.586115181446075,0.9316239316239316,0.9895591647331786,nan,0.684811237928007,0.4604090194022024,0.912041884816754,0.28062248995983935,0.8660624370594159,0.9250780437044746,0.8836126629422719,0.109,0.853,0.0,0.78,0.878,0.871,0.559,0.86,0.889,0.949
